,product,product_category,number of transactions
0,Almond Croissant,Bakery,347
1,Cappuccino,Coffee,1290
2,Carmel syrup,Flavours,561
3,Chocolate Chip Biscotti,Bakery,352
4,Chocolate Croissant,Bakery,636
5,Chocolate syrup,Flavours,568
6,Cranberry Scone,Bakery,350
7,Croissant,Bakery,355
8,Dark chocolate,Drinking Chocolate,947
9,Dark chocolate,Packaged Chocolate,22
10,Espresso shot,Coffee,628
11,Ginger Biscotti,Bakery,314
12,Ginger Scone,Bakery,417
13,Hazelnut Biscotti,Bakery,338
14,Hazelnut syrup,Flavours,512
15,Jumbo Savory Scone,Bakery,357
16,Latte,Coffee,1256
17,Oatmeal Scone,Bakery,334
18,Sugar Free Vanilla syrup,Flavours,605
